"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,40938070,132437264,1,11-DEC-20,1,"N",29,5,31,"M",2,2,"R","","",31,0
2020,40938071,132437264,2,11-DEC-20,1,"N",29,5,42,"M",2,,"R","","",42,0
2020,40933636,132437370,2,17-NOV-20,1,"N",16,5,24,"F",1,2,"U","","",24,0
2020,40938097,132437370,1,17-NOV-20,1,"N",16,5,34,"M",1,,"U","","",34,0
2020,40938145,132437485,1,29-SEP-20,2,"N",23,5,42,"F",1,,"R","","",42,0
2020,40938203,132437607,1,15-NOV-20,3,"N",49,5,32,"M",1,2,"R","","",32,0
2020,40938040,132437203,1,28-NOV-20,3,"N",16,5,43,"M",1,2,"","","",43,0
2020,40938192,132437594,2,18-SEP-20,2,"N",23,5,44,"F",1,2,"R","","",44,0
2020,40938191,132437594,1,18-SEP-20,2,"N",23,5,55,"M",1,2,"R","","",55,0
2020,41255304,133557445,1,13-DEC-20,2,"M",23,5,32,"F",1,,"R","","",32,0
2020,41255367,133557618,1,02-DEC-20,2,"N",23,5,24,"M",1,2,"R","","",24,0
2020,41255423,133557791,1,28-DEC-20,1,"N",14,5,42,"F",1,2,"U","","",42,0
2020,41250103,133552571,1,18-OCT-20,2,"N",16,5,28,"F",1,2,"","","",28,0
2020,41250125,133557974,1,26-DEC-20,2,"N",23,5,32,"F",1,2,"R","","",32,0
2020,40933571,132434869,1,03-OCT-20,1,"N",5,5,30,"M",1,2,"","","",30,0
2020,40938053,132434927,1,23-NOV-20,2,"N",16,5,32,"M",1,2,"R","","",32,0
2020,40938098,132435047,1,14-NOV-20,3,"N",29,5,20,"M",1,,"U","","",20,0
2020,40938101,132437379,1,22-NOV-20,1,"N",16,5,52,"M",1,,"R","","",52,0
2020,40933674,132435173,1,18-NOV-20,3,"N",16,5,26,"M",2,,"N","","",26,0
2020,40933677,132435176,1,18-OCT-20,3,"N",51,5,23,"M",1,2,"R","","",23,0
2020,40938200,132437601,1,19-SEP-20,3,"N",11,5,33,"M",1,,"R","","",33,0
2020,40933714,132435256,1,18-MAR-20,1,"C",27,5,60,"M",1,2,"R","","",60,0
2020,40933721,132435260,1,01-OCT-20,1,"N",21,5,27,"F",1,2,"R","","",27,0
2020,40938228,132435297,1,25-AUG-20,1,"N",16,5,46,"M",1,2,"R","","",46,0
2020,41250120,133557941,1,05-DEC-20,2,"N",51,5,38,"M",1,2,"R","","",38,0
2020,41250124,133552627,1,26-DEC-20,1,"N",23,5,35,"M",1,2,"R","","",35,0
2020,41638046,134754273,1,15-JAN-21,2,"N",23,5,21,"F",1,2,"R","","",21,0
2020,41641595,134754340,1,09-MAY-20,3,"N",51,5,25,"F",1,2,"R","","",25,0
2020,41641851,134755194,1,08-JAN-21,2,"N",5,5,13,"M",1,,"R","R","",13,0
2020,41255142,133551931,1,12-JAN-21,2,"N",23,5,38,"M",1,,"","","",38,0
2020,41249849,133557072,1,13-NOV-20,1,"N",47,5,32,"F",1,2,"R","","",32,0
2020,41641593,134758585,1,21-JUN-20,2,"N",51,5,23,"M",1,2,"R","","",23,0
2020,41638148,134758718,1,12-MAR-20,2,"N",23,5,37,"M",1,,"","","",37,0
2020,41638164,134754490,1,15-JAN-21,1,"M",16,5,34,"M",1,2,"N","","",34,0
2020,41641661,134754533,1,18-DEC-20,1,"C",51,5,27,"F",1,2,"R","","",27,0
2020,41641706,134758906,1,26-MAY-20,3,"N",49,5,33,"M",1,2,"","","",33,0
2020,41641711,134758930,1,20-JAN-21,3,"C",5,5,36,"M",1,2,"R","","",36,0
2020,41638245,134754729,1,19-JUN-20,2,"N",27,5,31,"M",1,2,"N","","",31,0
2020,41641718,134754754,1,06-MAY-20,2,"N",27,5,49,"M",2,2,"R","","",49,0
2020,40933559,132437167,1,23-NOV-20,3,"N",27,5,25,"M",1,2,"","","",25,0
2020,40933573,132434877,1,03-OCT-20,2,"N",16,5,23,"F",1,2,"","","",23,0
2020,40933586,132437210,1,21-AUG-20,3,"N",27,5,25,"F",1,2,"R","","",25,0
2020,40938048,132437235,1,05-JUN-20,2,"N",23,5,40,"M",1,2,"N","","",40,0
2020,40938054,132434931,1,23-OCT-20,2,"N",23,5,40,"F",1,2,"R","","",40,0
2020,40938106,132437386,1,02-DEC-20,3,"N",27,5,59,"M",1,,"U","","",59,0
2020,40933665,132437504,1,11-OCT-20,2,"N",28,5,41,"M",1,2,"N","","",41,0
2020,40938108,132437387,1,01-DEC-20,2,"N",5,5,21,"M",1,,"U","","",21,0
