"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,128431952,20,4913,,143035865
2020,128431978,20,19000,,143035889
2020,128432218,10,,,143036143
2020,133921952,16,10,,149909019
2020,127663709,52,0,,142039608
2020,127663725,35,1200,,142045226
2020,128431904,51,0,,143035821
2020,128431955,20,1092,,143035868
2020,128431983,20,1097,,143035893
2020,128432007,20,23,,143035912
2020,128432007,9,0,,143035916
2020,128432007,25,20,,143035915
2020,128432500,63,1,,143036467
2020,128432692,52,0,,143036672
2020,128432938,10,,,143036955
2020,128432948,52,0,,143036973
2020,128432948,25,100,,143036971
2020,128432948,20,106,,143036968
2020,128432998,42,300,,143037032
2020,128431668,16,150,,143035547
2020,128431740,19,931,,143035632
2020,128431740,8,1,,143035635
2020,128431819,8,8,,143035729
2020,128431819,6,13,,143035728
2020,128431951,20,8493,,143035864
2020,128431999,20,2700,,143035905
2020,128432443,54,1500,,143036404
2020,128432454,6,159,,143036416
2020,128432496,63,60,,143036463
2020,128432496,25,50,,143036462
2020,128432496,20,200,,143036458
2020,128432511,63,5,,143036475
2020,128432525,23,475,,143036491
2020,128432524,23,475,25-APR-20,143036490
2020,128432748,34,125,,143036732
2020,128432793,63,2000,28-JUN-20,143036800
2020,128433118,38,30,,143037166
2020,128433144,65,100,,143037194
2020,128433173,3,2000,,143037229
2020,128431649,3,300,,143035530
2020,128431829,3,1,,143035734
2020,128431829,10,,,143035739
2020,128431854,6,850,,143035768
2020,128431871,36,4400,,143035784
2020,128432540,4,2500,25-JUN-20,143036505
2020,128432541,20,2500,,143036506
2020,128432541,4,2500,,143036507
2020,128432610,20,500,,143036577
2020,128432610,61,60,,143036578
2020,128432715,61,100,,143036707
2020,128432700,35,1,,143036689
2020,128432755,9,0,,143036749
2020,128432755,20,1629,,143036745
2020,128432755,25,50,,143036747
2020,128432761,9,0,16-JUN-20,143036764
2020,128432803,20,1000,,143036811
2020,128432869,8,3,,143036877
2020,128431688,20,5,,143035567
2020,128431691,20,5,10-MAY-20,143035569
2020,128431707,19,36,,143035595
2020,128431832,8,80,,143035743
2020,128431832,6,19,,143035745
2020,128432212,38,300,,143036139
2020,128432281,38,1000,,143036223
2020,128432332,20,300,,143036277
2020,128432350,20,700,,143036295
2020,128432512,42,1,,143036477
2020,128432706,10,,,143036696
2020,128433127,38,400,,143037176
2020,128433143,63,1000,,143037192
2020,128433179,13,500,,143037235
2020,128433189,38,400,,143037247
2020,128432236,22,0,,143036165
2020,128432236,20,1210,,143036163
2020,128432236,16,10,,143036164
2020,128432279,15,699,,143036219
2020,128432335,19,22,,143036280
2020,128432415,20,1,,143036372
2020,128432477,38,200,,143036442
2020,128432498,30,40,,143036465
2020,128432673,4,400,,143036648
2020,128432785,3,50,,143036790
2020,128432798,31,1,,143036805
2020,126934871,52,0,,141108719
2020,128431716,3,1000,,143035609
2020,128431717,3,1000,11-JUN-20,143035612
2020,128431792,63,900,,143035703
2020,128431815,8,6,,143035724
2020,128431900,26,300,,143035814
2020,128432005,3,1200,,143035911
2020,128432349,33,10,,143036293
2020,128432473,38,200,,143036438
2020,128432488,63,400,,143036453
2020,128432506,63,75,,143036472
2020,128432508,63,25,,143036474
2020,128432589,63,1000,,143036556
2020,128432616,36,10,26-JUN-20,143036585
2020,128432621,36,10,,143036587
2020,128432628,25,10,,143036596
2020,128432717,8,1,,143036709
2020,128432968,60,300,,143036997
