"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,149221695
2020,4,149217167
2020,4,149221712
2020,4,149217179
2020,4,149217193
2020,3,149217210
2020,4,149221871
2020,4,149217310
2020,4,149221957
2020,4,149221961
2020,4,149221966
2020,3,149221975
2020,3,149221984
2020,2,149221987
2020,4,149217184
2020,4,149221756
2020,4,149217207
2020,4,149217214
2020,4,149221786
2020,4,149221787
2020,4,149217291
2020,4,149221875
2020,4,149221904
2020,4,149221907
2020,4,149221909
2020,4,149221917
2020,4,149221922
2020,3,149222006
2020,4,149217472
2020,3,149222017
2020,4,149222018
2020,4,149222023
2020,4,149222024
2020,4,149222026
2020,4,149222030
2020,4,149222031
2020,4,149222034
2020,4,149222033
2020,4,149217489
2020,4,149217492
2020,4,149217493
2020,4,146894172
2020,4,146898496
2020,4,146894184
2020,4,146894207
2020,4,146894215
2020,4,146885171
2020,4,146894243
2020,4,146894248
2020,4,146894284
2020,4,146898567
2020,4,146894341
2020,4,146898598
2020,4,146885274
2020,4,149216988
2020,4,149221510
2020,3,149221571
2020,4,149221616
2020,4,149217079
2020,4,149221651
2020,3,149217228
2020,4,149217237
2020,4,149221835
2020,4,149221839
2020,4,149221850
2020,4,149217282
2020,4,149217322
2020,4,149221896
2020,4,149221908
2020,4,149221912
2020,4,149221913
2020,4,149221920
2020,1,149221933
2020,3,149217406
2020,4,149221954
2020,4,149221956
2020,3,149221997
2020,4,149222009
2020,4,149222019
2020,4,149222021
2020,4,149222025
2020,4,149222027
2020,4,149222029
2020,4,149217488
2020,4,149222035
2020,4,149222037
2020,4,149222036
2020,4,149217111
2020,4,149221680
2020,2,149221682
2020,4,149221696
2020,2,149221722
2020,4,149221738
2020,1,149221778
2020,4,149221795
2020,1,149221820
2020,4,149221852
2020,4,149221861
2020,4,149217287
2020,3,149217317
2020,4,149221895
2020,4,149221923
2020,1,149221928
2020,1,149217372
2020,4,149217378
2020,4,149217385
2020,4,149217386
2020,4,149221941
2020,4,149221967
2020,4,149221971
2020,4,149221974
2020,4,149221979
2020,4,149221981
2020,4,149222003
2020,3,149217469
2020,3,149222015
2020,4,156886921
2020,4,156892102
2020,4,156886968
2020,4,156892113
2020,4,156892295
2020,4,156892340
2020,4,156887225
2020,4,156887226
2020,4,160864246
2020,4,160864263
2020,4,146893873
2020,4,160864305
2020,4,160864308
2020,4,160864306
2020,4,146893853
2020,4,160864333
2020,4,146885030
2020,4,146898173
2020,4,146898185
2020,4,146898193
2020,4,146893997
2020,4,160864337
2020,4,160864339
2020,4,160864359
2020,4,160869003
2020,4,160864371
2020,4,146898366
2020,4,146898372
2020,4,146894078
2020,4,146894081
2020,4,146898407
2020,3,146898420
2020,1,160864378
2020,1,160869018
2020,4,160864385
2020,3,160864392
2020,3,160864393
2020,3,160864401
2020,4,160869088
2020,4,160864432
2020,4,160864433
2020,4,160869107
2020,4,160864440
2020,4,149216995
2020,1,149221535
2020,4,149221532
2020,4,149221549
2020,4,149221550
2020,4,149217028
2020,4,149217043
2020,4,149221613
2020,4,149217171
2020,4,149221719
2020,4,149221766
2020,4,149221785
2020,3,149217248
2020,4,149217265
2020,3,149221854
