"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,125178674,4
2019,125178693,4
2019,125178727,5
2019,125178730,5
2019,125178729,5
2019,125172918,5
2019,125178448,4
2019,125169030,4
2019,125178511,4
2019,125178597,5
2019,125173327,4
2019,125178541,5
2019,125173520,5
2019,128268265,5
2019,128268511,4
2019,128268512,4
2019,125168455,5
2019,125177893,5
2019,125172992,4
2019,125178218,5
2019,125173269,2
2019,128268450,4
2019,128268686,4
2019,128268823,5
2019,128268970,4
2019,128268993,4
2019,128269134,4
2019,125173291,5
2019,125168801,5
2019,125178357,4
2019,125178356,4
2019,125178372,4
2019,125178374,4
2019,125178373,4
2019,125178375,4
2019,125173331,4
2019,125169062,4
2019,125178565,5
2019,125173587,5
2019,125173624,5
2019,125178659,4
2019,125178664,4
2019,125178708,5
2019,125178707,5
2019,125178709,4
2019,125178717,4
2019,127226251,5
2019,127226271,6
2019,127212432,4
2019,127226392,4
2019,127228512,4
2019,129421908,4
2019,129425544,4
2019,125177879,4
2019,125168459,4
2019,125172967,4
2019,125168497,5
2019,125177922,5
2019,125178048,4
2019,125178063,5
2019,125168619,5
2019,125168628,4
2019,125168629,4
2019,125168660,5
2019,125168706,5
2019,125178227,4
2019,125178234,4
2019,129425345,5
2019,129417263,4
2019,127228140,4
2019,127228155,4
2019,127228168,4
2019,127226329,4
2019,127226776,5
2019,127226868,4
2019,127226883,5
2019,127226466,4
2019,127226465,4
2019,127226469,2
2019,127212752,4
2019,127232926,5
2019,127232933,4
2019,127232934,4
2019,127226679,5
2019,127226713,5
2019,127232969,4
2019,127232968,4
2019,127226742,4
2019,127226800,4
2019,127226912,4
2019,127228857,4
2019,127226929,5
2019,127228869,4
2019,127226952,3
2019,127226961,4
2019,127226989,4
2019,127226990,4
2019,129421840,5
2019,129425283,4
2019,129425284,4
2019,127228110,5
2019,130317472,4
2019,130325422,8
2019,130325462,4
2019,130317642,4
2019,130317666,5
2019,130317667,5
2019,130317781,4
2019,130317800,4
2019,130327920,4
2019,130302051,5
2019,130327939,4
2019,130327949,4
2019,130328047,4
2019,130328046,5
2019,130328143,5
2019,127212446,4
2019,127228146,4
2019,127212484,5
2019,127226355,4
2019,127226356,4
2019,127226366,5
2019,127228205,5
2019,127228233,5
2019,127212527,5
2019,127212529,5
2019,127212599,8
2019,127212602,4
2019,127226501,5
2019,127228538,5
2019,127228560,4
2019,127226614,5
2019,127232929,4
2019,127226761,4
2019,127228743,4
2019,127226817,4
2019,127226835,5
2019,127226845,4
2019,127233072,5
2019,127226848,4
2019,127226871,4
2019,127226927,5
2019,127226988,5
2019,127233183,5
2019,127226993,2
2019,127228894,4
2019,127227009,5
2019,127227010,1
2019,127212539,4
2019,127212538,4
2019,127226419,4
2019,127226446,6
2019,127212713,5
2019,127226478,4
2019,130325135,5
2019,130325136,5
2019,130317432,4
2019,130317451,5
2019,130317452,5
2019,130317450,5
2019,130317481,5
2019,130317496,5
2019,130325324,5
2019,130325507,4
2019,127226247,2
2019,127212392,5
2019,127212409,5
2019,127228105,5
2019,127212478,4
2019,127226594,4
2019,127226599,4
2019,127226613,4
2019,127226618,4
2019,127226312,4
2019,127226335,4
2019,127226340,5
2019,127226379,5
2019,127228644,5
2019,127226745,5
2019,127226837,4
2019,127226862,5
2019,127226909,4
2019,127226986,5
2019,130325099,4
2019,130317377,4
2019,130317386,4
2019,130317388,5
2019,130317402,4
2019,130317435,4
2019,130325316,5
2019,128262717,5
2019,128268104,4
2019,128268117,4
2019,128268864,5
2019,128268922,4
2019,128269032,5
2019,128269052,4
2019,128269124,4
2019,128269336,4
2019,128269337,4
2019,128262780,5
2019,128255671,5
2019,128268536,4
2019,128268672,5
2019,128268727,5
2019,128268887,5
2019,128268890,5
2019,128268885,4
2019,128268909,4
2019,128268920,5
2019,128269335,2
2019,125168413,4
2019,125173049,4
2019,125168590,4
2019,125178135,5
2019,125168666,5
2019,125173152,4
2019,125173151,4
2019,125178393,2
2019,133070899,5
2019,133070902,5
2019,133062347,4
2019,133070950,4
2019,133062362,5
2019,133062382,4
2019,133062389,4
2019,133062416,4
2019,133075295,2
2019,125168803,4
2019,125173314,4
2019,125172924,4
2019,125168441,4
2019,125168811,5
2019,125178385,4
2019,125168865,5
2019,125168864,5
2019,125173370,4
2019,125173368,4
2019,125178440,4
2019,125173425,5
2019,125173493,4
2019,125173492,4
2019,125178553,4
2019,128255645,4
2019,128262855,4
2019,133062181,4
2019,133062186,5
2019,133062192,4
2019,133062206,4
2019,133062210,5
2019,133062209,5
2019,133070671,5
2019,133070672,5
2019,133070673,5
2019,133074917,5
