"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,127212792,131870563,5,39610451
2019,127226652,131862894,1,39624817
2019,127226750,131862976,21,39624841
2019,127233034,131870834,16,39610500
2019,127233060,131870871,1,39624852
2019,128255645,133042768,17,40042160
2019,127212806,131866313,27,39624803
2019,127212865,131870636,24,39610466
2019,127226710,131862942,16,39624831
2019,127226740,131870767,17,39624837
2019,127232985,131870776,1,39610482
2019,127232985,131870775,1,39610481
2019,127232987,131862972,1,39610483
2019,127232987,131870776,1,39610485
2019,127232985,131862972,1,39610480
2019,127232987,131870775,1,39610484
2019,130325571,135134802,24,40864062
2019,130325592,135147761,24,40864075
2019,130317840,135134855,24,40854327
2019,130325610,135147782,3,40864082
2019,129421749,134217508,3,40495546
2019,130325650,135134940,16,40864099
2019,130325093,135134337,1,40863950
2019,130325105,135134351,16,40854183
2019,130325181,135147366,3,40854194
2019,130325185,135134395,3,40863974
2019,130325190,135134409,1,40863975
2019,130317501,135134528,4,40854235
2019,130317347,135134350,21,40863954
2019,130325198,135147378,1,40863977
2019,130317431,135134447,17,40854210
2019,130325242,135147419,20,40854213
2019,130317446,135147430,4,40863994
2019,130325336,135147510,1,40864020
2019,130325335,135147510,1,40864019
2019,130325398,135147566,21,40864030
2019,130301889,135140905,3,40850139
2019,130301900,135134654,16,40850141
2019,130317648,135140917,21,40854257
2019,130317808,135134815,3,40854315
2019,130327911,135134920,24,40854349
2019,130325626,135134920,24,40864091
2019,130327912,135134920,24,40854350
2019,130325627,135134920,24,40864092
2019,130302059,135147855,24,40850192
2019,130325726,135147899,1,40864122
2019,130325746,135147915,21,40864130
2019,130325780,135150086,24,40864141
2019,129425225,134220238,3,40495603
2019,129425233,134220247,3,40498470
2019,129425238,134214453,9,40498471
2019,129425320,134214523,1,40495641
2019,129425407,134217772,1,40495688
2019,129425449,134217804,24,40498501
2019,129425449,134217805,24,40498502
2019,129425572,134217921,16,40498536
2019,129421979,134217925,1,40495747
2019,129422017,134217980,14,40498552
2019,129438392,134228847,3,40500353
2019,130325103,135147290,16,40863953
2019,130301807,135140815,1,40850118
2019,130325233,135147411,1,40863988
2019,130325421,135134606,3,40854248
2019,130325440,135134625,16,40854252
2019,130325473,135134663,1,40864040
2019,129431601,134231615,18,40502309
2019,129438399,134231643,16,40496321
2019,129427528,134231643,16,40496320
2019,129438418,134231661,15,40500357
2019,129438531,134219962,1,40500390
2019,129431699,134234980,1,40502333
2019,129427632,134228926,16,40506358
2019,129438378,134228843,3,40500350
2019,129438421,134231663,24,40502313
2019,129438461,134228880,1,40496338
2019,129427560,134228880,24,40496337
2019,129431672,134231754,3,40500374
2019,129438516,134219953,4,40500380
2019,129438518,134231767,17,40500381
2019,129438522,134231772,19,40500383
2019,129438529,134219961,1,40500387
2019,129438551,134231800,21,40502331
2019,129438567,134231821,1,40500411
2019,129438566,134231822,1,40500409
2019,129438567,134231822,25,40500410
2019,129438566,134231821,25,40500408
2019,129438570,134231826,25,40500412
2019,129438572,134231826,3,40500414
2019,129438570,134231828,3,40506354
2019,129438572,134231828,25,40506357
2019,129438675,134235053,1,40500432
2019,129431790,134231939,16,40500436
2019,129438737,134235116,24,40502359
2019,129438781,134229091,3,40500450
2019,130325114,135134360,5,40854185
2019,130317409,135134424,1,40854208
2019,130317411,135134424,1,40850125
2019,130301825,135134424,1,40854207
2019,129431584,134228823,21,40502303
2019,129431583,134231590,21,40502301
2019,129431584,134231590,25,40502304
2019,129431583,134228823,25,40502302
2019,129431644,134228874,14,40502319
2019,129431662,134231736,1,40496341
2019,129438504,134219944,25,40500376
2019,129438504,134231755,18,40500375
2019,129438505,134219944,18,40496345
2019,129438505,134231755,25,40500377
2019,130317765,135147722,1,40854290
2019,130325533,135147704,24,40864052
2019,130325567,135147741,18,40864060
2019,130325570,135134798,16,40864061
2019,130325628,135147804,1,40864093
2019,130325629,135147804,1,40864094
2019,130325634,135134925,1,40864096
2019,130327924,135147822,5,40854357
2019,130325659,135147840,24,40864102
2019,130325663,135147845,21,40864104
2019,129438344,134219852,20,40496318
2019,129438356,134219859,21,40500340
2019,129438357,134219859,9,40500341
2019,129438358,134219859,5,40500342
2019,129438439,134219906,3,40500359
2019,129427580,134228894,14,40500372
2019,129438530,134231780,25,40500389
2019,129438528,134231780,21,40500385
2019,129438530,134219960,21,40500388
2019,129438528,134219960,25,40500386
2019,129438559,134231815,14,40500405
2019,129427625,134228923,24,40496352
2019,129431719,134228945,16,40502344
2019,129427706,134228999,1,40502349
2019,129438685,134231931,1,40500433
2019,129438689,134235066,16,40500434
2019,129438689,134235067,1,40500435
2019,129438700,134231945,24,40500437
2019,129431795,134231945,24,40502354
2019,129427738,134231968,19,40506376
2019,129421763,134217527,1,40498452
2019,129421766,134214383,3,40491059
2019,129438371,134219869,17,40500347
2019,129431605,134219869,17,40500348
2019,129431608,134219884,3,40502311
2019,129431625,134231675,1,40502315
2019,129431577,134228818,3,40502300
2019,129438353,134219854,1,40500339
2019,129427539,134231664,3,40496324
2019,129438490,134219934,3,40500368
2019,129438502,134228898,22,40496343
2019,129438502,134228897,21,40496344
2019,129438508,134228900,15,40500379
2019,129431684,134231778,1,40502328
2019,129431684,134231777,1,40500384
2019,129438534,134231784,15,40500392
2019,129431696,134231818,16,40502332
2019,129431713,134234999,16,40506359
2019,129438714,134229028,1,40500445
2019,129438770,134235152,24,40500448
2019,129427811,134235151,1,40506391
2019,129427811,134235152,1,40506392
2019,129438770,134235151,24,40500449
2019,129438793,134229119,16,40500453
2019,129438794,134235177,16,40500454
