"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,9,138656242
2019,6,138656332
2019,9,138650739
2019,7,138653283
2019,6,143327526
2019,6,143327542
2019,8,143327542
2019,6,143315845
2019,6,143327663
2019,2,143316016
2019,3,143316031
2019,3,143316051
2019,3,148287013
2019,8,148297385
2019,6,148297482
2019,9,148301340
2019,6,148297941
2019,9,148298017
2019,6,148298262
2019,8,141026432
2019,6,141026432
2019,12,141021101
2019,12,141024619
2019,9,141021138
2019,2,141021153
2019,6,141031176
2019,2,141031226
2019,1,141031227
2019,7,141026518
2019,6,141026518
2019,6,141026621
2019,9,141031451
2019,3,141026673
2019,3,141031475
2019,6,138650425
2019,9,138650663
2019,9,138653196
2019,6,138650906
2019,6,138651077
2019,8,138651077
2019,3,138652935
2019,6,138650740
2019,3,138650747
2019,6,138650802
2019,6,138653377
2019,9,138650450
2019,6,138653039
2019,9,138650626
2019,9,138652894
2019,9,138646120
2019,3,138653024
2019,6,138653126
2019,8,138650648
2019,9,138650701
2019,9,138653225
2019,1,138653241
2019,6,138650439
2019,8,138650439
2019,4,138650689
2019,6,138653505
2019,9,138661193
2019,12,138661255
2019,6,138661256
2019,9,138646141
2019,6,138652980
2019,6,138656434
2019,9,138656469
2019,6,138653570
2019,6,138656783
2019,6,138650637
2019,9,138656406
2019,9,138653413
2019,6,136933575
2019,6,136933681
2019,6,136936909
2019,2,136946399
2019,6,136699261
2019,6,136702328
2019,3,136703344
2019,1,132872653
2019,9,132870090
2019,6,132876797
2019,9,137964228
2019,6,137958926
2019,9,137966419
2019,6,137964483
2019,6,137964484
2019,3,137964668
2019,9,137381828
2019,6,137377232
2019,12,137371081
2019,6,137376892
2019,9,137377017
2019,9,137377111
2019,6,137377184
2019,6,137371072
2019,2,137376551
2019,3,137381339
2019,3,137381348
2019,1,137381390
2019,3,137381424
2019,9,137381438
2019,8,137381725
2019,9,137377009
2019,9,137381863
2019,6,137377297
2019,6,137381868
2019,6,137370901
2019,9,137381539
2019,3,137377239
2019,9,137381840
2019,6,137376412
2019,6,137376508
2019,3,137381336
2019,9,137376779
2019,6,137376788
2019,9,137376825
2019,9,137381720
2019,9,137377157
2019,6,137381899
2019,3,137381958
2019,3,137381583
2019,12,137371074
2019,3,137381960
2019,9,137381460
2019,9,137381526
2019,3,137381529
2019,6,137381664
2019,9,137381676
2019,4,137381677
2019,9,137381745
2019,3,137381775
2019,9,137377213
2019,9,137381786
2019,6,137381190
2019,3,137376556
2019,6,137381601
2019,9,137376866
2019,9,137376869
2019,9,137381611
2019,9,137376977
2019,9,137377005
2019,9,137377038
2019,1,137377123
2019,9,137377214
2019,6,137377291
2019,9,137370865
2019,9,137381449
2019,9,137376690
2019,6,137381456
2019,9,137377029
2019,9,137381764
2019,9,137381765
2019,9,137381767
2019,6,137377254
2019,6,136946349
2019,6,136941866
2019,3,136941877
2019,6,136938482
2019,3,137377120
2019,9,137377176
2019,9,136905894
2019,3,132759776
2019,9,132766240
2019,6,132766538
2019,6,132824003
2019,6,132827113
2019,6,132815568
2019,6,132825548
2019,6,132815793
2019,6,132828026
2019,6,132816061
2019,3,132828220
2019,3,132825995
2019,6,132864219
2019,1,132872702
2019,9,132870617
2019,3,132874402
2019,6,136699265
2019,9,136702130
2019,9,136699595
2019,6,136694813
2019,6,136702742
2019,3,136703325
2019,9,136941535
2019,6,136936775
2019,3,136946375
2019,6,137958876
2019,3,137964348
2019,6,137964362
2019,6,137964500
2019,6,137966717
2019,3,137966743
2019,9,137958746
2019,9,136941480
2019,9,137964137
2019,3,137966150
2019,6,137958725
2019,3,137966215
2019,9,137966301
2019,6,137966356
2019,9,137966365
2019,9,137958955
2019,9,137964384
2019,6,137964400
2019,9,137958822
2019,6,137966759
2019,3,137966746
2019,3,136941664
2019,6,136941701
2019,6,136946333
2019,3,136936939
2019,3,136946387
2019,2,136946457
2019,6,136946470
2019,9,143308884
2019,6,143305677
2019,6,143305687
2019,6,143305694
2019,9,143311249
2019,6,143305739
2019,9,136702046
2019,9,136702561
2019,6,136699902
2019,6,136702932
2019,9,136905893
2019,6,136905924
2019,6,136941508
2019,3,143327815
2019,6,137966156
2019,9,137966157
2019,9,137966223
2019,9,137966367
2019,7,137959115
2019,6,137959136
2019,9,137966671
2019,3,137964673
2019,3,137966771
2019,6,137381983
2019,6,137377306
2019,3,137377306
2019,6,137376398
2019,8,137376398
2019,9,137381511
2019,6,137381624
2019,9,137966175
2019,6,137964119
2019,9,137958768
2019,6,137966297
2019,9,137966357
2019,6,137966400
2019,6,137966591
2019,6,137964596
2019,6,137966488
2019,8,137966488
2019,2,137966509
2019,6,137959140
2019,6,137966685
2019,6,137966684
2019,9,137966713
2019,9,137959190
2019,3,137959247
2019,6,137964546
2019,3,137964561
2019,6,137964561
2019,8,137964561
2019,3,137966745
2019,3,137959257
2019,3,137959266
2019,3,137964683
2019,6,137377285
2019,12,132872643
2019,3,132864609
2019,3,132877263
2019,9,137377298
2019,6,148301250
2019,9,148301273
2019,9,148287427
2019,9,148301322
2019,3,148287638
2019,9,148301536
2019,6,148301580
2019,9,148287791
2019,3,148287813
2019,8,136941671
2019,6,136941671
2019,6,136941784
2019,6,136936925
2019,4,137964009
2019,12,137964224
2019,9,136933649
2019,6,136933658
2019,6,136695188
2019,6,136695283
2019,3,136700357
2019,6,136695751
2019,9,143305690
2019,9,143311238
2019,9,143309169
2019,6,143309269
2019,9,143309279
2019,9,143311365
2019,9,143311396
2019,9,143311399
2019,9,142050776
2019,6,142131818
2019,9,142136790
2019,9,142131871
2019,9,142131875
2019,6,142136993
2019,6,142131952
2019,6,142131956
2019,6,142137435
2019,8,142137508
2019,9,142137720
2019,6,142137759
2019,8,142137769
2019,6,142137778
2019,3,142137895
2019,3,142132055
2019,8,132826998
2019,3,132827567
2019,6,132828002
2019,3,132828191
2019,6,132876558
2019,9,136702112
2019,8,136699280
2019,6,136702159
2019,6,136699516
2019,6,136699609
2019,2,136694903
2019,6,136702623
2019,6,136695672
2019,6,137964323
2019,3,137958911
2019,6,137958916
2019,1,137964411
2019,6,137959001
2019,8,137959001
2019,9,137966202
2019,12,137958747
2019,6,137958724
2019,9,137958897
2019,9,137958921
2019,9,136941472
2019,9,136941559
2019,6,136941624
2019,6,136941623
2019,6,136946226
2019,8,136941678
2019,6,136941678
2019,6,137956142
2019,9,137958715
2019,9,137958841
2019,6,136905921
2019,9,136909091
2019,6,137964454
2019,3,137964454
2019,9,137966515
2019,3,137959096
2019,3,137959098
2019,6,137959098
2019,5,137959098
2019,6,137959209
2019,3,137959265
2019,6,137959276
2019,9,137964033
2019,6,132864221
2019,6,132864801
2019,9,132873324
2019,6,132873932
2019,3,132874383
2019,6,137956032
2019,8,137964041
2019,6,138646088
2019,6,138650480
2019,9,138646142
2019,2,138652922
2019,9,138650523
2019,9,138650643
2019,9,138650682
2019,6,138656357
2019,3,138653260
2019,1,138653263
2019,9,138656470
2019,10,138656500
2019,6,138653472
2019,9,138650891
2019,6,138653491
2019,3,138656615
2019,6,138650992
2019,3,137966198
2019,9,137966206
2019,6,137966209
2019,9,137958740
2019,9,137964214
2019,9,137966293
2019,6,137958810
2019,6,137964281
2019,6,137958868
2019,9,137958929
2019,9,137958933
2019,12,137958984
2019,9,137958996
2019,6,137966511
2019,6,137964471
2019,9,137964569
2019,3,137964575
2019,6,137966641
2019,6,137964600
2019,4,137959234
2019,6,137966696
2019,6,137966731
2019,6,137966397
2019,6,137958922
2019,3,137958632
2019,9,137966189
2019,14,137956079
2019,6,137958673
2019,9,136933530
2019,6,136941676
2019,6,136946338
2019,6,136702015
2019,6,136702493
2019,9,136699673
2019,3,132864345
2019,9,132869872
2019,6,132876537
2019,3,132865798
2019,9,132825087
2019,6,132827683
2019,6,132816064
2019,9,143309035
2019,9,143309156
2019,6,136694766
2019,9,136702544
2019,6,136695030
2019,6,136702844
2019,9,136695231
2019,3,136700361
2019,6,136695737
2019,6,136695767
2019,6,136699699
2019,6,136702843
2019,6,136703143
2019,6,136700205
2019,9,136702166
2019,9,136694506
2019,8,136699429
2019,9,136702357
2019,6,136702386
2019,9,136702571
2019,3,136703322
2019,6,136702000
2019,6,136699335
2019,9,136699364
2019,9,136694467
2019,3,136702483
2019,6,136694834
2019,1,136694476
2019,6,136702835
2019,8,136702880
2019,6,136702880
2019,6,136695323
2019,6,142137045
2019,9,142137044
2019,6,142137249
2019,6,142137851
2019,6,142136907
2019,9,142137217
2019,9,142137229
2019,6,142137446
2019,6,142131998
2019,8,142137872
2019,3,142137975
2019,9,143301132
2019,6,143308980
2019,3,141031533
2019,3,141031575
2019,6,144195544
2019,9,144195692
2019,6,144195718
2019,6,144195728
2019,6,144179918
2019,3,144202807
2019,9,144195954
2019,1,144202860
2019,6,144202863
2019,9,144179988
2019,6,144202897
2019,3,144180016
2019,6,144180019
2019,6,144180029
2019,9,144180060
2019,9,144180059
2019,6,144180062
2019,6,144180064
2019,8,144180064
2019,6,144180065
2019,8,144203084
2019,4,144180089
2019,6,141024649
2019,6,142136567
2019,9,142136824
2019,6,142131904
2019,9,142137144
2019,9,142137356
2019,6,142137483
2019,6,141021133
2019,3,141031493
2019,3,141024850
2019,1,141031543
2019,5,141031543
2019,3,141026756
2019,9,141024952
2019,6,141024975
2019,6,141025026
2019,9,141025051
2019,2,141031733
2019,9,141031732
2019,9,141031754
2019,8,141025094
2019,14,141024674
2019,6,141031335
2019,6,141031334
2019,6,141031376
2019,6,141031377
2019,6,141026603
2019,8,141026603
2019,6,141026604
2019,8,141026604
2019,3,141026645
2019,3,141024749
2019,3,141026666
2019,6,141026670
2019,2,141024781
2019,9,141031513
2019,3,141031536
2019,3,141024865
2019,3,141031608
2019,3,141024901
2019,9,142136880
2019,9,142136886
2019,3,142137159
2019,6,142137186
2019,6,142137388
2019,6,141026939
2019,6,141027012
2019,6,141027011
2019,9,141025077
2019,9,141031763
2019,9,141031843
2019,9,142136260
2019,3,142136472
2019,6,142136542
2019,6,142136727
2019,6,142136988
2019,6,142137041
2019,9,142137164
2019,6,142137655
2019,6,142137791
2019,9,142050834
2019,6,142132032
2019,3,142132032
2019,3,142132053
2019,3,142137921
2019,3,142137930
2019,3,142132062
2019,3,142137936
2019,3,142137937
2019,3,142137969
2019,6,142137977
2019,3,146898380
2019,3,146885116
2019,3,146894305
2019,6,146894314
2019,3,146894314
